allele number population locus proportion
144 6 8 E6 0.000000000
148 1 8 E6 0.000000000
170 0 8 E6 0.000000000
196 0 8 E6 0.000000000
210 0 8 E6 0.000000000
140 3 8 E6 0.000000000
130 1 8 E6 0.000000000
132 0 10 E6 0.013333333
152 31 10 E6 0.180000000
186 0 10 E6 0.000000000
174 1 10 E6 0.020000000
162 3 10 E6 0.180000000
126 0 10 E6 0.000000000
156 0 10 E6 0.040000000
180 0 10 E6 0.006666667
182 1 10 E6 0.006666667
192 0 10 E6 0.006666667
198 0 10 E6 0.040000000
118 0 10 E6 0.000000000
188 0 10 E6 0.000000000
200 0 10 E6 0.013333333
178 1 10 E6 0.040000000
190 0 10 E6 0.000000000
154 1 10 E6 0.100000000
184 0 10 E6 0.000000000
150 0 10 E6 0.033333333
166 1 10 E6 0.073333333
168 1 10 E6 0.020000000
158 0 10 E6 0.006666667
164 0 10 E6 0.046666667
146 5 10 E6 0.020000000
172 1 10 E6 0.033333333
202 0 10 E6 0.006666667
176 0 10 E6 0.026666667
160 0 10 E6 0.033333333
144 0 10 E6 0.006666667
148 1 10 E6 0.020000000
170 1 10 E6 0.013333333
196 0 10 E6 0.006666667
210 0 10 E6 0.006666667
140 0 10 E6 0.000000000
130 0 10 E6 0.000000000
132 1 12 E6 0.020833333
152 31 12 E6 0.166666667
186 0 12 E6 0.000000000
174 1 12 E6 0.031250000
162 1 12 E6 0.114583333
126 0 12 E6 0.000000000
156 0 12 E6 0.041666667
180 0 12 E6 0.010416667
182 1 12 E6 0.010416667
192 0 12 E6 0.000000000
198 0 12 E6 0.052083333
118 0 12 E6 0.000000000
188 1 12 E6 0.000000000
200 0 12 E6 0.010416667
178 0 12 E6 0.000000000
190 0 12 E6 0.010416667
154 2 12 E6 0.093750000
184 0 12 E6 0.000000000
150 1 12 E6 0.031250000
166 5 12 E6 0.000000000
168 37 12 E6 0.114583333
158 0 12 E6 0.000000000
164 0 12 E6 0.041666667
146 0 12 E6 0.104166667
172 0 12 E6 0.000000000
202 0 12 E6 0.000000000
176 1 12 E6 0.010416667
160 0 12 E6 0.010416667
144 0 12 E6 0.000000000
148 0 12 E6 0.104166667
170 0 12 E6 0.010416667
196 0 12 E6 0.000000000
210 0 12 E6 0.000000000
140 18 12 E6 0.010416667
130 0 12 E6 0.000000000
132 0 14 E6 0.080000000
152 34 14 E6 0.580000000
186 0 14 E6 0.000000000
174 0 14 E6 0.010000000
162 3 14 E6 0.100000000
126 0 14 E6 0.010000000
156 0 14 E6 0.000000000
180 0 14 E6 0.000000000
182 1 14 E6 0.000000000
192 0 14 E6 0.000000000
198 0 14 E6 0.000000000
118 0 14 E6 0.000000000
188 0 14 E6 0.000000000
200 0 14 E6 0.010000000
178 0 14 E6 0.020000000
190 0 14 E6 0.000000000
154 1 14 E6 0.020000000
184 0 14 E6 0.000000000
150 0 14 E6 0.000000000
166 4 14 E6 0.000000000
168 39 14 E6 0.020000000
158 0 14 E6 0.000000000
164 1 14 E6 0.000000000
146 0 14 E6 0.010000000
172 0 14 E6 0.010000000
202 0 14 E6 0.000000000
176 0 14 E6 0.010000000
160 1 14 E6 0.010000000
144 0 14 E6 0.060000000
148 1 14 E6 0.010000000
170 2 14 E6 0.000000000
196 0 14 E6 0.000000000
210 0 14 E6 0.000000000
140 9 14 E6 0.030000000
130 0 14 E6 0.010000000
197 116 2 F12 0.770833333
205 19 2 F12 0.062500000
207 4 2 F12 0.020833333
195 1 2 F12 0.000000000
193 5 2 F12 0.125000000
201 2 2 F12 0.000000000
199 1 2 F12 0.000000000
211 1 2 F12 0.000000000
203 1 2 F12 0.020833333
189 0 2 F12 0.000000000
217 0 2 F12 0.000000000
213 0 2 F12 0.000000000
209 0 2 F12 0.000000000
215 0 2 F12 0.000000000
187 0 2 F12 0.000000000
197 52 4 F12 0.120000000
205 30 4 F12 0.020000000
207 20 4 F12 0.260000000
195 2 4 F12 0.000000000
193 18 4 F12 0.580000000
201 6 4 F12 0.000000000
199 2 4 F12 0.000000000
211 1 4 F12 0.000000000
203 13 4 F12 0.000000000
189 3 4 F12 0.010000000
217 1 4 F12 0.000000000
213 1 4 F12 0.000000000
209 1 4 F12 0.010000000
215 0 4 F12 0.000000000
187 0 4 F12 0.000000000
197 20 6 F12 0.125000000
205 21 6 F12 0.020833333
207 16 6 F12 0.239583333
195 0 6 F12 0.000000000
193 9 6 F12 0.593750000
201 9 6 F12 0.010416667
199 1 6 F12 0.000000000
211 1 6 F12 0.000000000
203 13 6 F12 0.000000000
189 3 6 F12 0.000000000
217 0 6 F12 0.000000000
213 0 6 F12 0.000000000
209 0 6 F12 0.000000000
215 1 6 F12 0.000000000
187 2 6 F12 0.010416667
197 78 8 F12 0.773333333
205 5 8 F12 0.126666667
207 1 8 F12 0.026666667
195 1 8 F12 0.006666667
193 10 8 F12 0.033333333
201 2 8 F12 0.013333333
199 1 8 F12 0.006666667
211 0 8 F12 0.006666667
203 0 8 F12 0.006666667
189 2 8 F12 0.000000000
217 0 8 F12 0.000000000
213 0 8 F12 0.000000000
209 0 8 F12 0.000000000
215 0 8 F12 0.000000000
187 0 8 F12 0.000000000
197 37 10 F12 0.346666667
205 3 10 F12 0.200000000
207 1 10 F12 0.133333333
195 0 10 F12 0.013333333
193 6 10 F12 0.120000000
201 0 10 F12 0.040000000
199 0 10 F12 0.013333333
211 0 10 F12 0.006666667
203 1 10 F12 0.086666667
189 0 10 F12 0.020000000
217 0 10 F12 0.006666667
213 0 10 F12 0.006666667
209 0 10 F12 0.006666667
215 0 10 F12 0.000000000
187 0 10 F12 0.000000000
197 12 12 F12 0.208333333
205 2 12 F12 0.218750000
207 26 12 F12 0.166666667
195 0 12 F12 0.000000000
193 58 12 F12 0.093750000
201 0 12 F12 0.093750000
199 0 12 F12 0.010416667
211 0 12 F12 0.010416667
203 0 12 F12 0.135416667
189 1 12 F12 0.031250000
217 0 12 F12 0.000000000
213 0 12 F12 0.000000000
209 1 12 F12 0.000000000
215 0 12 F12 0.010416667
187 0 12 F12 0.020833333
197 12 14 F12 0.780000000
205 2 14 F12 0.050000000
207 23 14 F12 0.010000000
195 0 14 F12 0.010000000
193 57 14 F12 0.100000000
201 1 14 F12 0.020000000
199 0 14 F12 0.010000000
211 0 14 F12 0.000000000
203 0 14 F12 0.000000000
189 0 14 F12 0.020000000
217 0 14 F12 0.000000000
213 0 14 F12 0.000000000
209 0 14 F12 0.000000000
215 0 14 F12 0.000000000
187 1 14 F12 0.000000000
217 14 2 F19 0.041666667
272 1 2 F19 0.000000000
189 38 2 F19 0.125000000
298 2 2 F19 0.000000000
213 51 2 F19 0.354166667
219 1 2 F19 0.000000000
215 11 2 F19 0.312500000
304 4 2 F19 0.000000000
227 1 2 F19 0.000000000
290 2 2 F19 0.000000000
207 3 2 F19 0.000000000
203 1 2 F19 0.000000000
221 5 2 F19 0.000000000
225 2 2 F19 0.000000000
184 1 2 F19 0.000000000
302 2 2 F19 0.000000000
294 1 2 F19 0.000000000
278 1 2 F19 0.000000000
306 1 2 F19 0.000000000
229 1 2 F19 0.000000000
195 4 2 F19 0.000000000
197 2 2 F19 0.000000000
205 1 2 F19 0.000000000
314 0 2 F19 0.000000000
320 0 2 F19 0.000000000
201 0 2 F19 0.020833333
211 0 2 F19 0.020833333
318 0 2 F19 0.000000000
191 0 2 F19 0.000000000
193 0 2 F19 0.000000000
186 0 2 F19 0.000000000
223 0 2 F19 0.000000000
209 0 2 F19 0.020833333
199 0 2 F19 0.000000000
241 0 2 F19 0.000000000
308 0 2 F19 0.000000000
340 0 2 F19 0.000000000
254 0 2 F19 0.041666667
235 0 2 F19 0.020833333
237 0 2 F19 0.041666667
262 0 2 F19 0.000000000
258 0 2 F19 0.000000000
245 0 2 F19 0.000000000
233 0 2 F19 0.000000000
282 0 2 F19 0.000000000
231 0 2 F19 0.000000000
274 0 2 F19 0.000000000
239 0 2 F19 0.000000000
250 0 2 F19 0.000000000
217 2 4 F19 0.040000000
272 0 4 F19 0.000000000
189 1 4 F19 0.000000000
298 0 4 F19 0.000000000
213 5 4 F19 0.050000000
219 2 4 F19 0.080000000
215 0 4 F19 0.170000000
304 0 4 F19 0.000000000
227 0 4 F19 0.030000000
290 0 4 F19 0.000000000
207 7 4 F19 0.010000000
203 11 4 F19 0.010000000
221 1 4 F19 0.030000000
225 0 4 F19 0.040000000
184 0 4 F19 0.000000000
302 0 4 F19 0.000000000
294 0 4 F19 0.000000000
278 0 4 F19 0.000000000
306 0 4 F19 0.000000000
229 0 4 F19 0.020000000
195 32 4 F19 0.010000000
197 12 4 F19 0.000000000
205 5 4 F19 0.020000000
314 2 4 F19 0.000000000
320 2 4 F19 0.000000000
201 15 4 F19 0.010000000
211 4 4 F19 0.020000000
318 3 4 F19 0.000000000
191 17 4 F19 0.100000000
193 12 4 F19 0.000000000
186 7 4 F19 0.000000000
223 2 4 F19 0.050000000
209 3 4 F19 0.010000000
199 5 4 F19 0.020000000
241 0 4 F19 0.050000000
308 0 4 F19 0.000000000
340 0 4 F19 0.000000000
254 0 4 F19 0.010000000
235 0 4 F19 0.010000000
237 0 4 F19 0.020000000
262 0 4 F19 0.010000000
258 0 4 F19 0.010000000
245 0 4 F19 0.010000000
233 0 4 F19 0.030000000
282 0 4 F19 0.010000000
231 0 4 F19 0.050000000
274 0 4 F19 0.010000000
239 0 4 F19 0.040000000
250 0 4 F19 0.020000000
217 1 6 F19 0.104166667
272 0 6 F19 0.000000000
189 2 6 F19 0.000000000
298 0 6 F19 0.000000000
213 4 6 F19 0.072916667
219 3 6 F19 0.135416667
215 3 6 F19 0.145833333
304 0 6 F19 0.000000000
227 0 6 F19 0.072916667
290 0 6 F19 0.000000000
207 2 6 F19 0.031250000
203 10 6 F19 0.000000000
221 0 6 F19 0.093750000
225 0 6 F19 0.093750000
184 1 6 F19 0.000000000
302 0 6 F19 0.000000000
294 0 6 F19 0.000000000
